Iteration,Integer_Value,Compressed_Size_Bytes
Random_Control_41,2519253442567178261,33
Random_Control_42,18052021941538581881,34
Random_Control_43,13466074733181338050,32
Random_Control_44,13071034032208988755,33
Random_Control_45,86526426173479845,30
Random_Control_46,7338894957621827034,39
Random_Control_47,8771312547113203231,34
Random_Control_48,7092787540308443079,35
Random_Control_49,9087650650360575638,32
Random_Control_50,17778293471565209413,36
Random_Control_51,11998657760944072673,38
Random_Control_52,8462017297128420885,33
Random_Control_53,15809579950521455281,35
Random_Control_54,11127154012359366265,34
Random_Control_55,16397918330440438476,35
Random_Control_56,6627314866590293695,30
Random_Control_57,7682914396507662374,32
Random_Control_58,6829560274489421746,35
Random_Control_59,3805110657032107653,35
Random_Control_60,2635777312303930932,33
Random_Control_61,16434333760792673820,36
Random_Control_62,18430421735396519455,34
Random_Control_63,3202308248167518293,34
Random_Control_64,15481341925621872506,31
Random_Control_65,3566730947154021720,35
Random_Control_66,668675763701272170,33
Random_Control_67,175763284131187433,33
Random_Control_68,17493332164087328794,35
Random_Control_69,7804303907216946539,35
Random_Control_70,3100585557060731193,33
Random_Control_71,600160701037338843,34
Random_Control_72,9757606737575201206,34
Random_Control_73,2022256964975098757,34
Random_Control_74,17254437246126779085,33
Random_Control_75,7727618736511838692,37
Random_Control_76,16483043271561292579,31
Random_Control_77,10946699378797856368,35
Random_Control_78,15217408813099104376,34
Random_Control_79,10544777750533910588,31
Random_Control_80,6690727297152314990,35
Random_Control_81,2662189310659690125,35
Random_Control_82,4773063719126716068,32
Random_Control_83,180004637970822682,31
Random_Control_84,16988168770931920604,35
Random_Control_85,6844455768466592615,35
Random_Control_86,3609748789819811132,35
Random_Control_87,645058270519990628,32
Random_Control_88,6541046488511708989,34
Random_Control_89,8540452910908460356,35
Random_Control_90,2240889252847996510,31
Random_Control_91,17606513646456549158,35
Random_Control_92,17199526934910946083,37
Random_Control_93,745466591872568047,37
Random_Control_94,14263721661374763066,34
Random_Control_95,13648507629344445304,33
Random_Control_96,2911703909800193725,31
Random_Control_97,13600596590490536834,34
Random_Control_98,7084587274103038490,33
Random_Control_99,10432393214630386585,37
Random_Control_100,8753377667495004738,35
