n_bits,Type,Integer_Value,Compressed_Size_Bytes
34,Gradual,10385292137,27
34,Gradual,10653727593,25
34,Gradual,10636950377,26
34,Gradual,10636950369,25
34,Gradual,10636949857,25
34,Gradual,10636950881,26
34,Gradual,10636950625,27
34,Gradual,10636948577,24
34,Gradual,10636948593,24
34,Gradual,10636944497,27
34,Gradual,10641138801,27
34,Gradual,10641007729,26
34,Gradual,10641138801,27
34,Gradual,10607584369,24
34,Gradual,10607584337,23
34,Gradual,10473366609,25
34,Gradual,9936495697,25
34,Gradual,9936495699,26
34,Gradual,9936495635,25
34,Gradual,9936495633,24
34,Gradual,9936495617,24
34,Gradual,9936495619,25
34,Gradual,12083979267,26
34,Gradual,12083979779,27
34,Gradual,12083979795,27
34,Gradual,16378947091,26
34,Gradual,16379012627,26
34,Gradual,16379016723,26
34,Gradual,16378983955,25
34,Gradual,12084016659,25
34,Gradual,12092405267,25
34,Gradual,12092405265,25
34,Gradual,12092405249,25
34,Gradual,12092404737,24
34,Gradual,12159513601,24
34,Gradual,11085771777,24
34,Gradual,11085804545,25
34,Gradual,11087901697,25
34,Gradual,11087901729,24
34,Gradual,15382869025,25
34,Gradual,15382869027,26
34,Gradual,15383917603,27
34,Gradual,15920788515,25
34,Gradual,15920722979,26
34,Gradual,15918625827,24
34,Gradual,15381754915,26
34,Gradual,15381756963,27
34,Gradual,15381754915,26
34,Gradual,15373366307,25
34,Gradual,15369172003,25
34,Gradual,15369163811,25
34,Gradual,15368115235,25
34,Gradual,16441857059,23
34,Random,7369941017,24
34,Random,4855763532,22
34,Random,10980190776,27
34,Random,16011301206,24
34,Random,3805586028,27
34,Random,1532972476,24
34,Random,13183487764,27
34,Random,4235375658,25
34,Random,5472361040,26
34,Random,2893346132,25
34,Random,15125067437,24
34,Random,6759791675,26
34,Random,12545144259,24
34,Random,7192412874,23
34,Random,10636744298,23
34,Random,14243096916,23
34,Random,16343363763,24
34,Random,5970294847,26
34,Random,1187760255,24
34,Random,11141513195,23
34,Random,9645683954,24
34,Random,7641192344,26
34,Random,11794581976,24
34,Random,10591088271,22
34,Random,4114024428,26
34,Random,7754090884,25
34,Random,4213022000,24
34,Random,8120096732,24
34,Random,4627800683,24
34,Random,7661812534,26
34,Random,1940598147,25
34,Random,12305022490,21
34,Random,7461094264,26
34,Random,10587387802,25
34,Random,5006430756,23
34,Random,2737481453,26
34,Random,13077861551,24
34,Random,5151288618,23
34,Random,3714599461,24
34,Random,346307998,22
34,Random,3357558102,24
34,Random,16039518938,25
34,Random,8373513011,22
34,Random,10035219322,26
34,Random,15318704562,23
34,Random,6986731203,24
34,Random,1742848375,25
34,Random,5835285240,23
34,Random,3238594708,22
34,Random,11506475031,19
34,Random,15569797716,21
34,Random,3755625193,23
34,Random,5932868155,26
34,Random,8761853814,21
34,Random,15840829634,23
34,Random,6214752226,26
34,Random,9032911330,26
34,Random,9751626929,26
34,Random,14625797452,25
34,Random,7015903142,23
34,Random,11891512101,24
34,Random,2299946237,25
34,Random,2782416974,25
34,Random,10121022762,25
34,Random,3723034472,24
34,Random,7609260570,24
34,Random,5993822780,27
34,Random,4611504723,25
34,Random,16327659020,23
34,Random,4578335146,27
34,Random,15382730630,25
34,Random,11516071101,26
34,Random,11359948960,25
34,Random,6441101048,23
34,Random,4523938030,25
34,Random,3505893825,26
34,Random,6053035338,25
34,Random,15248757237,25
34,Random,8578035088,23
34,Random,8698890811,24
34,Random,16354597490,25
34,Random,13589245737,22
34,Random,10179489283,25
34,Random,5283700378,26
34,Random,14544118153,27
34,Random,12477872712,24
34,Random,15751103811,22
34,Random,15146922452,23
34,Random,11394444607,24
34,Random,2306088768,26
34,Random,4662163048,25
34,Random,14124343677,24
34,Random,8573323358,22
34,Random,4509881261,23
34,Random,15353717178,23
34,Random,14434471614,24
34,Random,8295922300,22
34,Random,2433689372,23
34,Random,6248107092,23
34,Random,17170786786,22
35,Gradual,34359738367,11
35,Gradual,34359672831,14
35,Gradual,34355478527,16
35,Gradual,34355462143,17
35,Gradual,34355462141,18
35,Gradual,33818591229,20
35,Gradual,33818591231,20
35,Gradual,33818591227,20
35,Gradual,33818590203,22
35,Gradual,33818606587,19
35,Gradual,33818082299,22
35,Gradual,31670598651,21
35,Gradual,31670598650,22
35,Gradual,31670467578,23
35,Gradual,33817951226,25
35,Gradual,33817918458,25
35,Gradual,33817918330,25
35,Gradual,33817917818,27
35,Gradual,25227983226,27
35,Gradual,25232177530,26
35,Gradual,25232175482,26
35,Gradual,33822110074,25
35,Gradual,33822105978,26
35,Gradual,33822089594,23
35,Gradual,33822081402,23
35,Gradual,33822081370,23
35,Gradual,25232146778,24
35,Gradual,25232147290,24
35,Gradual,25232147274,24
35,Gradual,25230050122,23
35,Gradual,25230050126,23
35,Gradual,25229001550,26
35,Gradual,25229001551,26
35,Gradual,25220612943,24
35,Gradual,25220612431,24
35,Gradual,25220612427,24
35,Gradual,25220612431,24
35,Gradual,25220612943,24
35,Gradual,25220612687,25
35,Gradual,25220612683,25
35,Gradual,25220678219,26
35,Gradual,24146936395,26
35,Gradual,24146936427,28
35,Gradual,24146938475,27
35,Gradual,24146938473,26
35,Gradual,24155327081,25
35,Gradual,24155458153,26
35,Gradual,24088349289,27
35,Gradual,19793381993,26
35,Gradual,19793381961,26
35,Gradual,19789187657,23
35,Gradual,19789187649,25
35,Gradual,19788925505,25
35,Gradual,19789449793,26
35,Gradual,19789450049,26
35,Gradual,19789450057,25
35,Gradual,19655232329,23
35,Gradual,19386796873,27
35,Gradual,19386796877,27
35,Gradual,19386794829,27
35,Gradual,17239311181,24
35,Gradual,18313053005,26
35,Gradual,20460536653,25
35,Gradual,20443759437,26
35,Gradual,20443759433,27
35,Gradual,20443693897,25
35,Gradual,20443694025,26
35,Gradual,20577911753,26
35,Gradual,21114782665,26
35,Gradual,21118976969,27
35,Gradual,21387412425,26
35,Gradual,21387445193,27
35,Gradual,25682412489,26
35,Gradual,25682416585,26
35,Gradual,25682417609,25
35,Gradual,25682413513,26
35,Gradual,25682479049,27
35,Gradual,25682483145,24
35,Gradual,25682491337,24
35,Gradual,25682360265,24
35,Gradual,25681835977,26
35,Gradual,25681835979,25
35,Gradual,24608094155,25
35,Gradual,24609142731,26
35,Gradual,24609138635,25
35,Gradual,24609138379,25
35,Gradual,24609662667,23
35,Gradual,24626439883,24
35,Gradual,24626440139,25
35,Gradual,24089569227,26
35,Gradual,24089573323,25
35,Gradual,24085379019,24
35,Gradual,24084854731,25
35,Gradual,24084985803,25
35,Gradual,23816550347,27
35,Gradual,23883659211,27
35,Gradual,23887853515,28
35,Gradual,23887853003,27
35,Gradual,23887853001,27
35,Gradual,23887787465,28
35,Gradual,23887803849,27
35,Random,6276048979,24
35,Random,22733299793,23
35,Random,8039238797,26
35,Random,6526196416,27
35,Random,20395416974,25
35,Random,3628838266,25
35,Random,27967699197,27
35,Random,24553321892,21
35,Random,23768184880,25
35,Random,11985631508,26
35,Random,19406482749,25
35,Random,24525498735,22
35,Random,11427432020,21
35,Random,7538293325,26
35,Random,28503985837,24
35,Random,1444096357,25
35,Random,16506846494,25
35,Random,30181738421,26
35,Random,14024220804,25
35,Random,23551326441,26
35,Random,16374324031,23
35,Random,20806826933,24
35,Random,2187322719,23
35,Random,16266628255,22
35,Random,28208235271,24
35,Random,9544783856,24
35,Random,9396230584,25
35,Random,10750588346,26
35,Random,8474786975,21
35,Random,25380344075,28
35,Random,19539520723,25
35,Random,9778720724,23
35,Random,411985232,23
35,Random,34135896564,24
35,Random,14831456885,25
35,Random,34343107763,22
35,Random,21548479608,24
35,Random,32435126245,26
35,Random,26909488706,24
35,Random,21300293958,25
35,Random,5393768184,22
35,Random,17282054385,23
35,Random,29244359308,25
35,Random,13980901963,26
35,Random,26184917669,25
35,Random,17555318002,25
35,Random,27622516824,24
35,Random,13712068108,24
35,Random,17202752882,21
35,Random,5112511022,25
35,Random,23158026648,27
35,Random,33704235001,24
35,Random,28866702242,25
35,Random,30372780582,25
35,Random,28283806779,26
35,Random,10822874624,23
35,Random,11461181351,25
35,Random,15898784937,24
35,Random,29811560317,25
35,Random,17612259336,22
35,Random,8126701532,26
35,Random,27213446674,25
35,Random,16494676807,24
35,Random,18882666430,24
35,Random,4757996637,28
35,Random,30058159682,25
35,Random,16929159525,24
35,Random,28739679626,25
35,Random,14313672173,21
35,Random,17349069948,24
35,Random,29597785698,28
35,Random,34261164935,22
35,Random,2141775452,24
35,Random,18691588664,27
35,Random,29691086415,27
35,Random,17500279657,23
35,Random,259787330,23
35,Random,8607229635,21
35,Random,23553016230,22
35,Random,26742906656,26
35,Random,26602701619,23
35,Random,24941170205,22
35,Random,9709053961,25
35,Random,823592267,25
35,Random,29006560444,26
35,Random,15811158445,25
35,Random,3446208133,23
35,Random,24659271100,22
35,Random,6390254127,24
35,Random,33523378859,22
35,Random,5958733946,27
35,Random,16223061065,24
35,Random,17339626065,24
35,Random,5258155248,27
35,Random,24539099365,24
35,Random,10287675205,23
35,Random,28701712513,21
35,Random,29686996432,26
35,Random,29149785009,25
35,Random,26741702785,24
36,Gradual,68719476735,11
36,Gradual,51539607551,12
36,Gradual,51539603455,14
36,Gradual,51539603453,15
36,Gradual,51539587069,17
36,Gradual,51539521533,17
36,Gradual,51002650621,20
36,Gradual,51002388477,20
36,Gradual,51001864189,23
36,Gradual,51001863165,23
36,Gradual,51001861117,25
36,Gradual,51001861113,24
36,Gradual,51001861081,24
36,Gradual,46706893785,26
36,Gradual,46706894809,25
36,Gradual,46706893785,26
36,Gradual,46704796633,25
36,Gradual,46705320921,25
36,Gradual,46705325017,24
36,Gradual,51000292313,24
36,Gradual,51000259545,25
36,Gradual,51000259417,25
36,Gradual,42410324825,27
36,Gradual,42410324809,27
36,Gradual,42410326857,26
36,Gradual,59590196041,25
36,Gradual,58516454217,24
36,Gradual,58516470601,23
36,Gradual,58516466505,24
36,Gradual,58516466497,25
36,Gradual,58516466625,28
36,Gradual,58516450241,27
36,Gradual,58382232513,28
36,Gradual,58378038209,26
36,Gradual,58378042305,26
36,Gradual,58378042241,28
36,Gradual,59451784065,28
36,Gradual,59451652993,28
36,Gradual,55156685697,27
36,Gradual,55156161409,27
36,Gradual,55156161281,28
36,Gradual,55158258433,26
36,Gradual,55158258435,24
36,Gradual,55695129347,20
36,Gradual,55695260419,25
36,Gradual,55695260483,26
36,Gradual,55695259971,26
36,Gradual,55695259715,26
36,Gradual,64285194307,26
36,Gradual,64285192259,25
36,Gradual,55695257667,26
36,Gradual,55695781955,26
36,Gradual,55662227523,28
36,Gradual,55393792067,27
36,Gradual,55393794115,27
36,Gradual,38213924931,27
36,Gradual,38218119235,27
36,Gradual,38218119243,26
36,Gradual,38218111051,27
36,Gradual,38218111307,27
36,Gradual,36070627659,23
36,Gradual,36070627658,23
36,Gradual,36070627786,24
36,Gradual,53250496970,27
36,Gradual,36070627786,24
36,Gradual,38218111434,26
36,Gradual,38213917130,26
36,Gradual,38213917162,29
36,Gradual,38482352618,25
36,Gradual,38482352634,25
36,Gradual,38486546938,24
36,Gradual,38484449786,26
36,Gradual,38480255482,27
36,Gradual,38480271866,26
36,Gradual,38480271802,26
36,Gradual,38211836346,24
36,Gradual,38211836330,24
36,Gradual,38203447722,27
36,Gradual,38203447723,27
36,Gradual,38203448747,29
36,Gradual,38203448739,26
36,Gradual,38136339875,27
36,Gradual,38136602019,27
36,Gradual,38136600995,26
36,Gradual,38136600739,27
36,Gradual,38136600737,28
36,Gradual,46726535329,27
36,Gradual,46726535345,26
36,Gradual,46730729649,26
36,Gradual,46730729648,27
36,Gradual,46730729712,27
36,Gradual,46730729696,27
36,Gradual,46730762464,27
36,Gradual,46732859616,26
36,Gradual,46732859624,27
36,Gradual,46195988712,27
36,Gradual,46195955944,26
36,Gradual,46195956456,26
36,Gradual,46195989224,27
36,Gradual,50490956520,26
36,Gradual,50490952424,26
36,Random,45251706437,26
36,Random,31257435295,28
36,Random,62030804210,26
36,Random,1026538125,26
36,Random,67712473013,24
36,Random,35412032966,26
36,Random,65578818268,25
36,Random,41312117850,26
36,Random,55491554667,27
36,Random,61991820907,25
36,Random,63739005441,25
36,Random,62271218851,26
36,Random,38456629572,25
36,Random,5198361638,26
36,Random,49383977345,25
36,Random,31894780285,25
36,Random,37402485219,27
36,Random,2645875891,27
36,Random,12452958555,27
36,Random,59459289351,24
36,Random,8115475149,26
36,Random,34634005637,23
36,Random,3587203833,26
36,Random,66052816411,22
36,Random,56222903353,29
36,Random,60346842867,23
36,Random,25962727543,25
36,Random,9891898770,23
36,Random,58577342619,26
36,Random,21868566587,25
36,Random,67155345695,25
36,Random,737381737,25
36,Random,22371904793,29
36,Random,6277755504,25
36,Random,17593879420,25
36,Random,55564057391,26
36,Random,18857639933,25
36,Random,27217268463,25
36,Random,15605832271,27
36,Random,25146550844,26
36,Random,15541882243,25
36,Random,42641947613,24
36,Random,59847728242,25
36,Random,59423461546,23
36,Random,27609519558,26
36,Random,38856610509,27
36,Random,8208272757,26
36,Random,37418301489,27
36,Random,36284778360,25
36,Random,60313725171,25
36,Random,11028486656,22
36,Random,38829496400,27
36,Random,7572951792,26
36,Random,6978821967,24
36,Random,40328250488,26
36,Random,38897233351,26
36,Random,59394572008,27
36,Random,27201111700,21
36,Random,10997802533,26
36,Random,9850428191,24
36,Random,25071185707,27
36,Random,10891434822,25
36,Random,57467862231,25
36,Random,28641885473,26
36,Random,7084457167,26
36,Random,7186512989,25
36,Random,52783340443,26
36,Random,27937981299,26
36,Random,42975738522,23
36,Random,67409887988,28
36,Random,60544889750,24
36,Random,36880043086,24
36,Random,43141044424,25
36,Random,40476497851,26
36,Random,45239719040,24
36,Random,987873965,24
36,Random,13163216625,28
36,Random,16874105334,24
36,Random,62610664568,25
36,Random,9517540989,28
36,Random,36526792991,24
36,Random,13067590878,25
36,Random,15691419867,25
36,Random,41371635126,25
36,Random,35248605588,27
36,Random,54476396233,26
36,Random,51024335291,24
36,Random,57490854247,26
36,Random,44622484281,27
36,Random,2387072166,25
36,Random,61624747316,27
36,Random,67765941907,25
36,Random,30660925579,24
36,Random,49431326430,27
36,Random,28403080477,25
36,Random,22974965293,23
36,Random,50394684599,24
36,Random,48846239280,23
36,Random,40125245258,24
36,Random,303768938,23
37,Gradual,137438953471,12
37,Gradual,137438953215,14
37,Gradual,135291469567,17
37,Gradual,135291469535,18
37,Gradual,118111600351,17
37,Gradual,117977382623,19
37,Gradual,117977120479,22
37,Gradual,117977120477,20
37,Gradual,118111338205,20
37,Gradual,118111338237,20
37,Gradual,118111337725,20
37,Gradual,109521403133,22
37,Gradual,109387185405,23
37,Gradual,109387185404,23
37,Gradual,109387183356,25
37,Gradual,109370406140,26
37,Gradual,109504623868,24
37,Gradual,109437515004,24
37,Gradual,109437515260,24
37,Gradual,109437777404,23
37,Gradual,109437777388,23
37,Gradual,109169341932,24
37,Gradual,104874374636,23
37,Gradual,104874376684,23
37,Gradual,104865988076,25
37,Gradual,104865988012,24
37,Gradual,104865987980,25
37,Gradual,104865987724,26
37,Gradual,104865856652,28
37,Gradual,105134292108,28
37,Gradual,105134275724,28
37,Gradual,105142664332,28
37,Gradual,105008446604,29
37,Gradual,105008446605,28
37,Gradual,105007398029,25
37,Gradual,104999009421,23
37,Gradual,105015786637,23
37,Gradual,122195655821,24
37,Gradual,122195654797,24
37,Gradual,87835916429,25
37,Gradual,87836965005,27
37,Gradual,87836965007,26
37,Gradual,70657095823,26
37,Gradual,105016834191,27
37,Gradual,105016834189,26
37,Gradual,105016965261,26
37,Gradual,105016703117,26
37,Gradual,70656964749,25
37,Gradual,70656965773,26
37,Gradual,70656964749,25
37,Gradual,70656964751,26
37,Gradual,70656964783,26
37,Gradual,70654867631,27
37,Gradual,70654867629,25
37,Gradual,70654859437,25
37,Gradual,70654859433,27
37,Gradual,70650665129,23
37,Gradual,70650665385,24
37,Gradual,70650681769,27
37,Gradual,70650681737,25
37,Gradual,79240616329,25
37,Gradual,79240612233,25
37,Gradual,70650677641,24
37,Gradual,70650678665,25
37,Gradual,87830547849,28
